,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,target
10039079,2021-06-15 21:27:59.511292+00:00,x,y,2021-06-27 17:00:00+00:00,2021-06-27 18:59:00+00:00,gamma,True,20.0,1,c-6,6620.0
12415931,2021-07-02 19:27:09.900284+00:00,x,y,2021-07-17 07:00:00+00:00,2021-07-17 09:00:00+00:00,alpha,True,15.0,1,a-5,9045.0
6198268,2021-05-05 05:42:14.155200+00:00,x,y,2021-05-09 05:00:00+00:00,2021-05-09 07:00:00+00:00,alpha,True,35.0,1,a-1,6995.0
8258385,2021-05-31 14:33:55.894669+00:00,x,y,2021-06-05 16:00:00+00:00,2021-06-05 18:00:00+00:00,alpha,True,35.0,1,a-23,9707.0
6650063,2021-05-11 21:53:14.788210+00:00,x,y,2021-05-12 15:30:00+00:00,2021-05-12 17:30:00+00:00,alpha,True,35.0,1,a-7,5996.0
560287,2021-01-17 02:29:50.846766+00:00,x,y,2021-02-20 11:00:00+00:00,2021-02-20 13:00:00+00:00,gamma,True,32.0,1,c-4,9150.0
14498604,2021-07-15 03:19:14.179692+00:00,x,y,2021-08-07 13:00:00+00:00,2021-08-07 15:00:00+00:00,alpha,True,15.0,1,a-9,11245.0
9707842,2021-06-13 14:23:39.618190+00:00,x,y,2021-06-16 04:00:00+00:00,2021-06-16 06:00:00+00:00,alpha,True,35.0,1,a-1,7124.0
18587746,2021-08-12 03:37:51.850788+00:00,x,y,2021-09-07 04:00:00+00:00,2021-09-07 06:00:00+00:00,alpha,True,15.0,1,a-1,6810.0
18470504,2021-08-11 13:16:21.885372+00:00,x,y,2021-08-21 04:40:00+00:00,2021-08-21 06:40:00+00:00,omega,True,20.0,1,d-1,15000.0
9223805,2021-06-09 16:11:22.380932+00:00,x,y,2021-06-21 04:00:00+00:00,2021-06-21 06:00:00+00:00,alpha,True,35.0,1,a-1,9707.0
10892561,2021-06-23 05:32:15.090121+00:00,x,y,2021-06-24 09:45:00+00:00,2021-06-24 11:45:00+00:00,gamma,True,20.0,2,c-2,7900.0
6390472,2021-05-08 02:44:01.429321+00:00,x,y,2021-06-01 14:00:00+00:00,2021-06-01 15:55:00+00:00,beta,True,20.0,0,b-9,6755.0
11313514,2021-06-26 07:21:22.678691+00:00,x,y,2021-06-30 16:00:00+00:00,2021-06-30 18:00:00+00:00,alpha,True,15.0,1,a-23,11807.0
13609816,2021-07-09 08:02:46.934463+00:00,x,y,2021-08-07 17:00:00+00:00,2021-08-07 18:59:00+00:00,gamma,True,20.0,2,c-6,11285.0
9381161,2021-06-11 07:50:52.575450+00:00,x,y,2021-06-23 10:00:00+00:00,2021-06-23 12:00:00+00:00,alpha,True,15.0,1,a-7,9403.0
18172296,2021-08-10 10:57:46.817078+00:00,x,y,2021-08-12 10:35:00+00:00,2021-08-12 12:35:00+00:00,omega,True,20.0,1,d-3,6870.0
13927844,2021-07-11 09:29:08.273994+00:00,x,y,2021-07-28 14:00:00+00:00,2021-07-28 16:00:00+00:00,gamma,True,20.0,1,c-4,11300.0
4561716,2021-04-13 09:18:49.552354+00:00,x,y,2021-07-17 13:30:00+00:00,2021-07-17 15:30:00+00:00,alpha,True,15.0,1,a-5,8048.0
18480033,2021-08-11 14:16:14.404907+00:00,x,y,2021-08-13 14:00:00+00:00,2021-08-13 16:00:00+00:00,gamma,True,20.0,2,c-4,8500.0
1464183,2021-02-09 14:31:45.543984+00:00,x,y,2021-02-25 16:00:00+00:00,2021-02-25 18:10:00+00:00,alpha,True,20.0,1,a-7,9799.0
4239997,2021-04-04 09:18:27.154634+00:00,x,y,2021-05-23 13:30:00+00:00,2021-05-23 15:30:00+00:00,alpha,True,35.0,1,a-5,10799.0
4162215,2021-04-02 03:06:27.598733+00:00,x,y,2021-04-13 15:30:00+00:00,2021-04-13 17:30:00+00:00,alpha,True,15.0,1,a-7,9798.0
15221434,2021-07-20 14:00:04.665665+00:00,x,y,2021-07-25 16:00:00+00:00,2021-07-25 18:00:00+00:00,alpha,True,35.0,1,a-23,22445.0
7186296,2021-05-19 10:48:42.727819+00:00,x,y,2021-07-16 14:00:00+00:00,2021-07-16 15:55:00+00:00,beta,True,20.0,0,b-9,7374.0
7197024,2021-05-19 12:44:31.866068+00:00,x,y,2021-09-12 05:00:00+00:00,2021-09-12 06:55:00+00:00,beta,True,20.0,0,b-1,7374.0
20370870,2021-08-21 19:03:54.605239+00:00,x,y,2021-09-27 10:00:00+00:00,2021-09-27 12:00:00+00:00,gamma,True,20.0,1,c-2,6870.0
6267849,2021-05-06 05:34:52.966753+00:00,x,y,2021-05-10 13:30:00+00:00,2021-05-10 15:30:00+00:00,alpha,True,35.0,1,a-5,6495.0
20743576,2021-08-24 08:48:33.108466+00:00,x,y,2021-10-15 13:00:00+00:00,2021-10-15 15:00:00+00:00,alpha,True,20.0,1,a-9,7524.0
9389115,2021-06-11 09:25:03.086160+00:00,x,y,2021-07-11 11:00:00+00:00,2021-07-11 12:55:00+00:00,beta,True,20.0,0,b-69,10088.0
2844356,2021-03-08 13:48:35.941024+00:00,x,y,2021-03-13 17:00:00+00:00,2021-03-13 18:59:00+00:00,gamma,True,20.0,1,c-6,7640.0
21266709,2021-08-27 20:22:44.235170+00:00,x,y,2021-09-03 07:40:00+00:00,2021-09-03 09:40:00+00:00,alpha,True,20.0,1,a-5,8381.0
12094247,2021-07-01 04:58:22.191284+00:00,x,y,2021-07-02 05:00:00+00:00,2021-07-02 07:00:00+00:00,alpha,True,15.0,1,a-1,11807.0
8550965,2021-06-03 04:11:53.074396+00:00,x,y,2021-06-17 11:00:00+00:00,2021-06-17 12:55:00+00:00,beta,True,20.0,0,b-69,10360.0
12447535,2021-07-03 02:36:58.639473+00:00,x,y,2021-07-07 14:00:00+00:00,2021-07-07 16:00:00+00:00,gamma,True,20.0,1,c-4,10285.0
16407344,2021-07-29 12:22:58.940732+00:00,x,y,2021-08-10 04:00:00+00:00,2021-08-10 06:00:00+00:00,alpha,True,15.0,1,a-1,7524.0
5611749,2021-04-26 18:01:51.711757+00:00,x,y,2021-05-04 14:00:00+00:00,2021-05-04 15:55:00+00:00,beta,True,20.0,0,b-9,6765.0
12144515,2021-07-01 10:14:57.095990+00:00,x,y,2021-07-18 04:00:00+00:00,2021-07-18 06:00:00+00:00,alpha,True,35.0,1,a-1,8381.0
5085391,2021-04-21 05:15:08.049853+00:00,x,y,2021-05-18 11:00:00+00:00,2021-05-18 13:00:00+00:00,gamma,True,20.0,2,c-4,9145.0
11814682,2021-06-29 12:28:05.798882+00:00,x,y,2021-08-01 14:00:00+00:00,2021-08-01 16:00:00+00:00,gamma,True,20.0,2,c-4,9750.0
2092668,2021-02-24 07:27:03.474927+00:00,x,y,2021-03-06 16:00:00+00:00,2021-03-06 18:10:00+00:00,alpha,True,15.0,1,a-7,12495.0
19170934,2021-08-15 02:18:49.977059+00:00,x,y,2021-08-22 13:00:00+00:00,2021-08-22 15:00:00+00:00,alpha,True,15.0,1,a-9,18945.0
16050280,2021-07-26 18:01:41.801452+00:00,x,y,2021-08-05 04:00:00+00:00,2021-08-05 06:00:00+00:00,alpha,True,35.0,1,a-1,10545.0
7010443,2021-05-17 09:51:41.636128+00:00,x,y,2021-05-29 05:00:00+00:00,2021-05-29 07:00:00+00:00,gamma,True,20.0,1,c-2,7390.0
15473635,2021-07-22 18:36:50.803145+00:00,x,y,2021-08-01 14:00:00+00:00,2021-08-01 16:00:00+00:00,gamma,True,20.0,1,c-4,18105.0
1882505,2021-02-19 00:22:31.737174+00:00,x,y,2021-03-16 11:00:00+00:00,2021-03-16 13:00:00+00:00,gamma,True,20.0,2,c-4,14000.0
1611172,2021-02-13 07:51:24.208640+00:00,x,y,2021-03-15 05:00:00+00:00,2021-03-15 07:00:00+00:00,gamma,True,32.0,2,c-2,13750.0
19768209,2021-08-18 08:44:54.235421+00:00,x,y,2021-08-20 17:00:00+00:00,2021-08-20 18:59:00+00:00,gamma,True,20.0,2,c-6,16075.0
3342369,2021-03-16 04:20:06.028588+00:00,x,y,2021-04-01 17:00:00+00:00,2021-04-01 18:59:00+00:00,gamma,True,20.0,2,c-6,11300.0
4343664,2021-04-07 04:04:12.586307+00:00,x,y,2021-04-10 17:00:00+00:00,2021-04-10 18:59:00+00:00,gamma,True,20.0,2,c-6,9395.0
10552295,2021-06-20 10:15:01.472125+00:00,x,y,2021-06-22 13:00:00+00:00,2021-06-22 15:00:00+00:00,alpha,True,35.0,1,a-9,11072.0
19251384,2021-08-15 12:31:33.890090+00:00,x,y,2021-08-17 05:30:00+00:00,2021-08-17 07:30:00+00:00,gamma,True,20.0,2,c-2,8500.0
9715601,2021-06-13 15:16:06.028846+00:00,x,y,2021-06-14 09:45:00+00:00,2021-06-14 11:45:00+00:00,gamma,True,20.0,2,c-2,7900.0
22958,2021-01-01 02:00:23.144690+00:00,x,y,2021-01-09 11:00:00+00:00,2021-01-09 12:55:00+00:00,beta,False,20.0,0,b-69,8707.0
19990017,2021-08-19 13:09:36.439022+00:00,x,y,2021-09-08 04:40:00+00:00,2021-09-08 06:40:00+00:00,omega,True,20.0,1,d-1,6870.0
17774453,2021-08-08 15:23:10.860966+00:00,x,y,2021-08-27 10:00:00+00:00,2021-08-27 12:00:00+00:00,alpha,True,15.0,1,a-5,7524.0
16429075,2021-07-29 15:42:18.670944+00:00,x,y,2021-12-03 07:00:00+00:00,2021-12-03 09:00:00+00:00,alpha,True,15.0,1,a-5,9045.0
7200054,2021-05-19 13:13:58.866311+00:00,x,y,2021-07-16 05:00:00+00:00,2021-07-16 06:55:00+00:00,beta,True,20.0,0,b-1,7374.0
5389571,2021-04-24 00:55:55.677152+00:00,x,y,2021-04-24 17:00:00+00:00,2021-04-24 18:59:00+00:00,gamma,True,20.0,2,c-6,8390.0
16476232,2021-07-30 03:33:12.620629+00:00,x,y,2021-08-22 04:00:00+00:00,2021-08-22 06:00:00+00:00,alpha,True,35.0,1,a-1,8381.0
9650680,2021-06-13 07:43:38.862655+00:00,x,y,2021-07-25 10:00:00+00:00,2021-07-25 12:00:00+00:00,alpha,True,15.0,1,a-7,6850.0
2497994,2021-03-02 19:12:00.199517+00:00,x,y,2021-03-07 11:00:00+00:00,2021-03-07 13:00:00+00:00,gamma,True,20.0,1,c-4,7640.0
4854422,2021-04-19 14:55:03.969223+00:00,x,y,2021-04-21 05:00:00+00:00,2021-04-21 07:00:00+00:00,gamma,True,20.0,2,c-2,8390.0
21448481,2021-08-29 10:28:07.093280+00:00,x,y,2021-09-09 10:35:00+00:00,2021-09-09 12:35:00+00:00,omega,True,20.0,1,d-3,6870.0
6157525,2021-05-04 14:53:25.879469+00:00,x,y,2021-05-05 11:00:00+00:00,2021-05-05 13:00:00+00:00,gamma,True,20.0,2,c-4,8390.0
9431413,2021-06-11 17:13:04.987869+00:00,x,y,2021-07-29 05:00:00+00:00,2021-07-29 06:55:00+00:00,beta,True,20.0,0,b-1,10088.0
7503992,2021-05-22 17:51:08.329571+00:00,x,y,2021-05-24 05:00:00+00:00,2021-05-24 07:00:00+00:00,gamma,True,20.0,2,c-2,9025.0
19225882,2021-08-15 10:12:50.718065+00:00,x,y,2021-08-15 13:00:00+00:00,2021-08-15 15:00:00+00:00,alpha,True,20.0,1,a-9,10545.0
11377598,2021-06-26 16:18:14.612571+00:00,x,y,2021-07-03 07:00:00+00:00,2021-07-03 09:00:00+00:00,alpha,True,35.0,1,a-5,11072.0
21423426,2021-08-29 06:34:39.528040+00:00,x,y,2021-09-25 17:00:00+00:00,2021-09-25 18:59:00+00:00,gamma,True,20.0,1,c-6,6870.0
17615167,2021-08-07 19:12:51.565924+00:00,x,y,2021-09-02 13:00:00+00:00,2021-09-02 15:00:00+00:00,alpha,True,15.0,1,a-9,6810.0
8286445,2021-05-31 18:18:49.147840+00:00,x,y,2021-06-07 07:00:00+00:00,2021-06-07 09:00:00+00:00,alpha,True,35.0,1,a-5,9707.0
19047374,2021-08-14 10:17:44.350127+00:00,x,y,2021-08-23 04:00:00+00:00,2021-08-23 06:00:00+00:00,alpha,True,20.0,1,a-1,17745.0
3071538,2021-03-11 18:18:08.417634+00:00,x,y,2021-03-23 15:30:00+00:00,2021-03-23 17:30:00+00:00,alpha,True,35.0,1,a-7,10799.0
17297792,2021-08-05 20:54:51.295892+00:00,x,y,2021-08-21 07:00:00+00:00,2021-08-21 09:00:00+00:00,alpha,True,20.0,1,a-5,10545.0
9992855,2021-06-15 14:15:15.458689+00:00,x,y,2021-07-05 17:00:00+00:00,2021-07-05 18:59:00+00:00,gamma,True,20.0,1,c-6,6620.0
1828739,2021-02-17 17:10:53.483129+00:00,x,y,2021-02-27 05:00:00+00:00,2021-02-27 07:00:00+00:00,gamma,True,20.0,1,c-2,12500.0
7504552,2021-05-22 17:56:37.003881+00:00,x,y,2021-06-06 10:00:00+00:00,2021-06-06 12:00:00+00:00,alpha,True,15.0,1,a-9,7520.0
19111786,2021-08-14 16:53:03.492640+00:00,x,y,2021-08-16 07:00:00+00:00,2021-08-16 09:00:00+00:00,alpha,True,20.0,1,a-5,8381.0
9677878,2021-06-13 10:48:57.760822+00:00,x,y,2021-06-29 10:00:00+00:00,2021-06-29 12:00:00+00:00,alpha,True,35.0,1,a-7,7124.0
17898784,2021-08-09 08:14:39.765283+00:00,x,y,2021-08-25 14:00:00+00:00,2021-08-25 16:00:00+00:00,gamma,True,20.0,2,c-4,9525.0
14233792,2021-07-13 09:28:16.502531+00:00,x,y,2021-07-23 09:00:00+00:00,2021-07-23 11:00:00+00:00,alpha,True,35.0,1,a-5,12645.0
21518825,2021-08-29 23:12:33.895909+00:00,x,y,2021-09-12 13:00:00+00:00,2021-09-12 15:00:00+00:00,alpha,True,15.0,1,a-9,9045.0
3525544,2021-03-19 09:26:04.765770+00:00,x,y,2021-03-22 14:00:00+00:00,2021-03-22 15:55:00+00:00,beta,True,20.0,0,b-9,8988.0
21738168,2021-08-31 16:49:12.648771+00:00,x,y,2021-09-19 10:35:00+00:00,2021-09-19 12:35:00+00:00,omega,True,20.0,1,d-3,6155.0
11157639,2021-06-25 05:25:53.660922+00:00,x,y,2021-06-29 10:00:00+00:00,2021-06-29 12:00:00+00:00,alpha,True,35.0,1,a-7,7900.0
16323680,2021-07-28 17:59:15.276745+00:00,x,y,2021-08-02 10:00:00+00:00,2021-08-02 12:00:00+00:00,gamma,True,20.0,2,c-2,12045.0
19465682,2021-08-16 15:50:23.307720+00:00,x,y,2021-09-16 10:00:00+00:00,2021-09-16 12:00:00+00:00,gamma,True,20.0,1,c-2,7500.0
18787618,2021-08-13 02:57:28.906585+00:00,x,y,2021-08-14 14:00:00+00:00,2021-08-14 16:00:00+00:00,gamma,True,20.0,1,c-4,15075.0
7432750,2021-05-21 21:47:44.364315+00:00,x,y,2021-05-28 05:00:00+00:00,2021-05-28 07:00:00+00:00,alpha,True,15.0,1,a-1,7520.0
3180852,2021-03-13 11:19:09.637946+00:00,x,y,2021-04-06 11:00:00+00:00,2021-04-06 13:00:00+00:00,gamma,True,20.0,1,c-4,9800.0
5740860,2021-04-28 14:42:31.845612+00:00,x,y,2021-04-29 13:30:00+00:00,2021-04-29 15:30:00+00:00,alpha,True,35.0,1,a-5,9077.0
8925310,2021-06-06 18:11:15.501013+00:00,x,y,2021-06-11 11:00:00+00:00,2021-06-11 12:55:00+00:00,beta,True,20.0,0,b-69,10057.0
10981217,2021-06-23 18:26:08.241428+00:00,x,y,2021-07-09 05:00:00+00:00,2021-07-09 07:00:00+00:00,alpha,True,35.0,1,a-1,7150.0
1442684,2021-02-09 04:44:16.174748+00:00,x,y,2021-02-14 05:00:00+00:00,2021-02-14 06:55:00+00:00,beta,True,35.0,0,b-1,9512.0
507500,2021-01-15 10:35:59.911450+00:00,x,y,2021-02-09 05:15:00+00:00,2021-02-09 07:25:00+00:00,alpha,True,0.0,0,a-1,8739.0
13469378,2021-07-08 10:17:32.344064+00:00,x,y,2021-07-30 05:00:00+00:00,2021-07-30 07:00:00+00:00,alpha,True,15.0,1,a-1,9045.0
11213704,2021-06-25 12:36:38.780159+00:00,x,y,2021-07-18 16:00:00+00:00,2021-07-18 18:00:00+00:00,alpha,True,35.0,1,a-23,11072.0
19103187,2021-08-14 15:58:15.390168+00:00,x,y,2021-08-24 13:00:00+00:00,2021-08-24 15:00:00+00:00,alpha,True,15.0,1,a-9,9045.0
12170026,2021-07-01 12:47:25.297450+00:00,x,y,2021-07-08 07:00:00+00:00,2021-07-08 09:00:00+00:00,alpha,True,35.0,1,a-5,8381.0
6974900,2021-05-16 22:42:50.035758+00:00,x,y,2021-05-31 11:00:00+00:00,2021-05-31 13:00:00+00:00,gamma,True,20.0,2,c-4,8390.0
17602100,2021-08-07 17:57:43.073242+00:00,x,y,2021-08-27 05:00:00+00:00,2021-08-27 07:00:00+00:00,alpha,True,15.0,1,a-1,6810.0
8600388,2021-06-03 13:20:19.135212+00:00,x,y,2021-06-20 16:00:00+00:00,2021-06-20 18:00:00+00:00,alpha,True,35.0,1,a-23,9707.0
803415,2021-01-23 20:11:29.672494+00:00,x,y,2021-01-30 11:00:00+00:00,2021-01-30 12:55:00+00:00,beta,True,40.0,0,b-69,9878.0
4458888,2021-04-10 02:32:14.665877+00:00,x,y,2021-04-23 17:00:00+00:00,2021-04-23 18:59:00+00:00,gamma,True,20.0,1,c-6,8395.0
6443382,2021-05-08 21:03:45.740781+00:00,x,y,2021-05-20 17:00:00+00:00,2021-05-20 18:59:00+00:00,gamma,True,20.0,2,c-6,8390.0
16742616,2021-08-01 09:37:05.249411+00:00,x,y,2021-08-08 14:00:00+00:00,2021-08-08 15:55:00+00:00,beta,True,40.0,0,b-9,17910.0
16884753,2021-08-02 14:07:05.362497+00:00,x,y,2021-08-08 10:00:00+00:00,2021-08-08 12:00:00+00:00,alpha,True,35.0,1,a-7,12645.0
9081551,2021-06-08 09:32:45.799961+00:00,x,y,2021-06-21 16:00:00+00:00,2021-06-21 18:00:00+00:00,alpha,True,15.0,1,a-23,9403.0
14557463,2021-07-15 11:46:29.309063+00:00,x,y,2021-08-01 04:00:00+00:00,2021-08-01 06:00:00+00:00,alpha,True,15.0,1,a-1,11245.0
18764508,2021-08-12 20:57:50.526085+00:00,x,y,2021-08-23 13:00:00+00:00,2021-08-23 15:00:00+00:00,alpha,True,20.0,1,a-9,12645.0
12389300,2021-07-02 17:07:28.887634+00:00,x,y,2021-07-07 16:00:00+00:00,2021-07-07 18:00:00+00:00,alpha,True,35.0,1,a-23,10545.0
19769209,2021-08-18 08:50:53.402629+00:00,x,y,2021-08-23 14:00:00+00:00,2021-08-23 16:00:00+00:00,gamma,True,20.0,2,c-4,16075.0
14791908,2021-07-17 06:46:24.460956+00:00,x,y,2021-07-17 16:00:00+00:00,2021-07-17 18:00:00+00:00,alpha,True,35.0,1,a-23,10545.0
4779763,2021-04-18 23:36:04.096042+00:00,x,y,2021-05-02 13:30:00+00:00,2021-05-02 15:30:00+00:00,alpha,True,15.0,1,a-5,4990.0
11759003,2021-06-29 07:06:06.056946+00:00,x,y,2021-08-11 16:45:00+00:00,2021-08-11 18:45:00+00:00,gamma,True,20.0,1,c-6,7765.0
18907019,2021-08-13 15:00:09.521646+00:00,x,y,2021-08-15 04:40:00+00:00,2021-08-15 06:40:00+00:00,omega,True,20.0,1,d-1,9000.0
7133573,2021-05-18 16:40:27.830805+00:00,x,y,2021-06-23 16:00:00+00:00,2021-06-23 18:00:00+00:00,alpha,True,15.0,1,a-7,6531.0
17539544,2021-08-07 11:48:34.355545+00:00,x,y,2021-08-19 16:00:00+00:00,2021-08-19 18:00:00+00:00,alpha,True,20.0,1,a-23,12645.0
12891364,2021-07-05 09:00:57.868091+00:00,x,y,2021-07-20 04:00:00+00:00,2021-07-20 06:00:00+00:00,alpha,True,35.0,1,a-1,10545.0
14992724,2021-07-18 17:05:15.617976+00:00,x,y,2021-07-28 17:00:00+00:00,2021-07-28 18:59:00+00:00,gamma,True,20.0,1,c-6,10285.0
14433373,2021-07-14 14:16:41.878993+00:00,x,y,2021-07-25 13:05:00+00:00,2021-07-25 15:05:00+00:00,alpha,True,15.0,1,a-9,23895.0
1402262,2021-02-08 04:32:51.643472+00:00,x,y,2021-03-13 13:30:00+00:00,2021-03-13 15:40:00+00:00,alpha,True,0.0,0,a-5,8739.0
17238853,2021-08-05 13:37:34.327704+00:00,x,y,2021-08-09 17:00:00+00:00,2021-08-09 18:59:00+00:00,gamma,True,20.0,2,c-6,7870.0
14090733,2021-07-12 10:15:29.856361+00:00,x,y,2021-08-04 05:00:00+00:00,2021-08-04 06:55:00+00:00,beta,True,20.0,0,b-1,6440.0
13518533,2021-07-08 16:01:02.872988+00:00,x,y,2021-07-14 17:00:00+00:00,2021-07-14 18:59:00+00:00,gamma,True,20.0,1,c-6,12560.0
17535640,2021-08-07 11:21:55.955824+00:00,x,y,2021-08-27 16:00:00+00:00,2021-08-27 18:00:00+00:00,alpha,True,20.0,1,a-9,8381.0
6553869,2021-05-10 11:47:52.108701+00:00,x,y,2021-05-22 05:00:00+00:00,2021-05-22 07:00:00+00:00,gamma,True,20.0,1,c-2,7390.0
11920693,2021-06-30 05:42:18.582406+00:00,x,y,2021-07-04 16:00:00+00:00,2021-07-04 18:00:00+00:00,alpha,True,15.0,1,a-23,13592.0
17145508,2021-08-04 18:57:11.039003+00:00,x,y,2021-08-31 17:00:00+00:00,2021-08-31 18:59:00+00:00,gamma,True,20.0,1,c-6,7765.0
15298042,2021-07-21 10:55:41.007315+00:00,x,y,2021-07-25 17:00:00+00:00,2021-07-25 18:59:00+00:00,gamma,True,20.0,2,c-6,23885.0
8117794,2021-05-30 11:00:28.316335+00:00,x,y,2021-06-07 05:00:00+00:00,2021-06-07 07:00:00+00:00,alpha,True,35.0,1,a-1,9707.0
1737001,2021-02-15 18:52:05.929199+00:00,x,y,2021-02-16 16:00:00+00:00,2021-02-16 18:10:00+00:00,alpha,True,35.0,1,a-7,12500.0
18051253,2021-08-09 19:59:26.325002+00:00,x,y,2021-08-23 14:00:00+00:00,2021-08-23 16:00:00+00:00,gamma,True,20.0,2,c-4,10280.0
6333355,2021-05-07 06:18:44.753957+00:00,x,y,2021-05-19 05:00:00+00:00,2021-05-19 07:00:00+00:00,gamma,True,20.0,1,c-2,7390.0
6384382,2021-05-07 23:06:34.485058+00:00,x,y,2021-05-16 17:00:00+00:00,2021-05-16 18:59:00+00:00,gamma,True,20.0,2,c-6,9145.0
19231269,2021-08-15 10:46:48.013304+00:00,x,y,2021-08-15 17:05:00+00:00,2021-08-15 19:05:00+00:00,omega,True,20.0,1,d-5,19000.0
7745212,2021-05-25 16:35:09.341275+00:00,x,y,2021-06-01 05:00:00+00:00,2021-06-01 07:00:00+00:00,alpha,True,35.0,1,a-1,8027.0
14581116,2021-07-15 14:40:49.281534+00:00,x,y,2021-07-25 07:00:00+00:00,2021-07-25 09:00:00+00:00,alpha,True,35.0,1,a-5,25345.0
908011,2021-01-26 17:28:00.831370+00:00,x,y,2021-02-01 17:00:00+00:00,2021-02-01 18:59:00+00:00,gamma,True,0.0,0,c-6,8275.0
8795580,2021-06-05 10:22:01.015185+00:00,x,y,2021-06-13 11:00:00+00:00,2021-06-13 13:00:00+00:00,gamma,True,20.0,1,c-4,10900.0
14749205,2021-07-16 18:54:56.406361+00:00,x,y,2021-07-18 05:00:00+00:00,2021-07-18 06:55:00+00:00,beta,True,40.0,0,b-1,19860.0
16273774,2021-07-28 10:29:34.024617+00:00,x,y,2021-07-30 05:00:00+00:00,2021-07-30 07:00:00+00:00,alpha,True,15.0,1,a-1,9045.0
20533750,2021-08-22 21:22:26.492839+00:00,x,y,2021-08-26 13:00:00+00:00,2021-08-26 15:00:00+00:00,alpha,True,15.0,1,a-9,11245.0
12233391,2021-07-01 20:23:55.362435+00:00,x,y,2021-07-16 17:00:00+00:00,2021-07-16 18:59:00+00:00,gamma,True,20.0,2,c-6,13560.0
1685461,2021-02-14 18:40:51.193320+00:00,x,y,2021-03-05 13:30:00+00:00,2021-03-05 15:40:00+00:00,alpha,True,35.0,1,a-5,12500.0
11560142,2021-06-27 22:52:26.032251+00:00,x,y,2021-06-30 10:00:00+00:00,2021-06-30 12:00:00+00:00,alpha,True,35.0,1,a-7,8800.0
18909392,2021-08-13 15:12:42.799075+00:00,x,y,2021-08-16 14:00:00+00:00,2021-08-16 15:55:00+00:00,beta,True,40.0,0,b-9,8380.0
19023719,2021-08-14 07:59:00.890781+00:00,x,y,2021-08-26 17:00:00+00:00,2021-08-26 18:59:00+00:00,gamma,True,20.0,2,c-6,8765.0
13840786,2021-07-10 17:36:56.851457+00:00,x,y,2021-07-27 04:00:00+00:00,2021-07-27 06:00:00+00:00,alpha,True,15.0,1,a-1,9045.0
6032005,2021-05-02 19:07:01.649160+00:00,x,y,2021-05-20 15:30:00+00:00,2021-05-20 17:30:00+00:00,alpha,True,15.0,1,a-7,6495.0
15326157,2021-07-21 16:10:42.048258+00:00,x,y,2021-08-08 07:00:00+00:00,2021-08-08 09:00:00+00:00,alpha,True,15.0,1,a-5,9045.0
10939517,2021-06-23 12:26:58.996950+00:00,x,y,2021-06-26 10:00:00+00:00,2021-06-26 12:00:00+00:00,alpha,True,15.0,1,a-7,9497.0
18203485,2021-08-10 13:36:53.111088+00:00,x,y,2021-09-06 02:00:00+00:00,2021-09-06 03:55:00+00:00,beta,True,20.0,0,b-73,6570.0
6066769,2021-05-03 09:30:34.916150+00:00,x,y,2021-05-04 05:00:00+00:00,2021-05-04 07:00:00+00:00,alpha,True,15.0,1,a-1,6495.0
20527793,2021-08-22 20:12:26.316767+00:00,x,y,2021-09-07 04:00:00+00:00,2021-09-07 06:00:00+00:00,alpha,True,20.0,1,a-1,7524.0
15289827,2021-07-21 09:00:13.124156+00:00,x,y,2021-08-06 14:00:00+00:00,2021-08-06 15:55:00+00:00,beta,True,40.0,0,b-9,8240.0
9865614,2021-06-14 14:55:39.095162+00:00,x,y,2021-07-31 05:00:00+00:00,2021-07-31 06:55:00+00:00,beta,True,20.0,0,b-1,6355.0
4248608,2021-04-04 14:12:00.927563+00:00,x,y,2021-04-07 05:00:00+00:00,2021-04-07 06:55:00+00:00,beta,True,20.0,0,b-1,8998.0
4699606,2021-04-17 19:11:51.966496+00:00,x,y,2021-05-23 15:30:00+00:00,2021-05-23 17:30:00+00:00,alpha,True,35.0,1,a-7,8605.0
9905408,2021-06-14 19:46:37.064462+00:00,x,y,2021-07-12 10:00:00+00:00,2021-07-12 12:00:00+00:00,alpha,True,15.0,1,a-7,6531.0
10451633,2021-06-19 12:30:06.465959+00:00,x,y,2021-06-28 04:00:00+00:00,2021-06-28 06:00:00+00:00,alpha,True,15.0,1,a-1,6531.0
15696947,2021-07-24 09:49:11.908057+00:00,x,y,2021-07-26 10:00:00+00:00,2021-07-26 12:00:00+00:00,gamma,True,20.0,1,c-2,15075.0
20620430,2021-08-23 12:56:18.588786+00:00,x,y,2021-08-30 04:40:00+00:00,2021-08-30 06:40:00+00:00,omega,True,20.0,1,d-1,7950.0
4744360,2021-04-18 14:16:10.064565+00:00,x,y,2021-05-10 11:00:00+00:00,2021-05-10 13:00:00+00:00,gamma,True,20.0,1,c-4,8650.0
10146944,2021-06-16 19:50:48.112520+00:00,x,y,2021-06-21 13:00:00+00:00,2021-06-21 15:00:00+00:00,alpha,True,15.0,1,a-9,7150.0
1577710,2021-02-12 12:00:27.660433+00:00,x,y,2021-03-07 05:15:00+00:00,2021-03-07 07:25:00+00:00,alpha,True,35.0,1,a-1,9799.0
20672194,2021-08-23 18:44:07.714499+00:00,x,y,2021-08-26 04:40:00+00:00,2021-08-26 06:40:00+00:00,omega,True,20.0,1,d-1,12250.0
